# r   n   gradn   gradn2   lapl   tau_KS   tauTF   s2   q   tau_vW
# Si Z=14  Koga1999  E=-288.854362454 Ha  T_KS=288.85433432 Ha
1.115641744584100344e-06 1.765561645758759596e+03 -4.943759493761556951e+04 2.444075793215752602e+09 -8.862489553000993347e+10 1.783160422558989376e+05 7.405255792618938722e+05 1.402016041352935061e-01 -8.975877877676952266e+03 1.730381235262248374e+05
1.120535825833336580e-06 1.765561403807168972e+03 -4.943758810821302177e+04 2.444075117957325459e+09 -8.823779686040820312e+10 1.783160179197959078e+05 7.405254101265425561e+05 1.402016166349344395e-01 -8.936674790672943345e+03 1.730380994316484139e+05
1.125451376368201911e-06 1.765561160794223497e+03 -4.943758124885229336e+04 2.444074439736871719e+09 -8.785238889296929932e+10 1.783159934769389802e+05 7.405252402492705733e+05 1.402016291894094269e-01 -8.897642928085444510e+03 1.730380752313774719e+05
1.130388490369851194e-06 1.765560916715265876e+03 -4.943757435940199503e+04 2.444073758541401386e+09 -8.746866424333880615e+10 1.783159689268599614e+05 7.405250696268226020e+05 1.402016417989593866e-01 -8.858781542070288197e+03 1.730380509249486495e+05
1.135347262432592517e-06 1.765560671565620851e+03 -4.943756743973010452e+04 2.444073074357861996e+09 -8.708661555941427612e+10 1.783159442690883589e+05 7.405248982559306314e+05 1.402016544638256812e-01 -8.820089888049569709e+03 1.730380265118959651e+05
1.140327787565698379e-06 1.765560425340591109e+03 -4.943756048970408301e+04 2.444072387173150063e+09 -8.670623552120462036e+10 1.783159195031518757e+05 7.405247261333110509e+05 1.402016671842512552e-01 -8.781567224697459096e+03 1.730380019917520112e+05
1.145330161195226590e-06 1.765560178035459558e+03 -4.943755350919078046e+04 2.444071696974101543e+09 -8.632751684068968201e+10 1.783158946285761194e+05 7.405245532556667458e+05 1.402016799604798303e-01 -8.743212813925936643e+03 1.730379773640470230e+05
1.150354479165848809e-06 1.765559929645488864e+03 -4.943754649805641384e+04 2.444071003747489929e+09 -8.595045226168057251e+10 1.783158696448843402e+05 7.405243796196863987e+05 1.402016927927557666e-01 -8.705025920870670234e+03 1.730379526283087616e+05
1.155400837742686907e-06 1.765559680165919644e+03 -4.943753945616671990e+04 2.444070307480041027e+09 -8.557503455968084717e+10 1.783158445515979547e+05 7.405242052220430924e+05 1.402017056813254781e-01 -8.667005813876960019e+03 1.730379277840637660e+05
1.160469333613156752e-06 1.765559429591973185e+03 -4.943753238338678057e+04 2.444069608158416748e+09 -8.520125654174795532e+10 1.783158193482364004e+05 7.405240300593965221e+05 1.402017186264356563e-01 -8.629151764485692183e+03 1.730379028308360139e+05
1.165560063888821721e-06 1.765559177918847581e+03 -4.943752527958108112e+04 2.444068905769218445e+09 -8.482911104635531616e+10 1.783157940343166410e+05 7.405238541283900850e+05 1.402017316283345472e-01 -8.591463047419387294e+03 1.730378777681473584e+05
1.170673126107252156e-06 1.765558925141724103e+03 -4.943751814461356116e+04 2.444068200298995018e+09 -8.445859094325534058e+10 1.783157686093538068e+05 7.405236774256556528e+05 1.402017446872709239e-01 -8.553938940568295948e+03 1.730378525955177320e+05
1.175808618233895610e-06 1.765558671255756963e+03 -4.943751097834747634e+04 2.444067491734227180e+09 -8.408968913334254456e+10 1.783157430728606996e+05 7.405234999478058890e+05 1.402017578034953083e-01 -8.516578724976596277e+03 1.730378273124647385e+05
1.180966638663952387e-06 1.765558416256083774e+03 -4.943750378064556571e+04 2.444066780061344624e+09 -8.372239854851783752e+10 1.783157174243482586e+05 7.405233216914419318e+05 1.402017709772589160e-01 -8.479381684828582365e+03 1.730378019185041194e+05
1.186147286224261679e-06 1.765558160137818732e+03 -4.943749655136994261e+04 2.444066065266715050e+09 -8.335671215155285645e+10 1.783156916633251531e+05 7.405231426531488542e+05 1.402017842088142674e-01 -8.442347107434969075e+03 1.730377764131494332e+05
1.191350660175194891e-06 1.765557902896056930e+03 -4.943748929038211645e+04 2.444065347336646557e+09 -8.299262293595529175e+10 1.783156657892975491e+05 7.405229628294978756e+05 1.402017974984145765e-01 -8.405474283219220524e+03 1.730377507959119685e+05
1.196576860212557442e-06 1.765557644525866635e+03 -4.943748199754289817e+04 2.444064626257378101e+09 -8.263012392583435059e+10 1.783156398017698957e+05 7.405227822170417057e+05 1.402018108463148338e-01 -8.368762505703984061e+03 1.730377250663006271e+05
1.201825986469498829e-06 1.765557385022300423e+03 -4.943747467271271307e+04 2.444063902015110970e+09 -8.226920817576774597e+10 1.783156137002446339e+05 7.405226008123223437e+05 1.402018242527709457e-01 -8.332211071497533339e+03 1.730376992238233215e+05
1.207098139518431149e-06 1.765557124380388132e+03 -4.943746731575114245e+04 2.444063174595962524e+09 -8.190986877066773987e+10 1.783155874842211779e+05 7.405224186118656071e+05 1.402018377180390685e-01 -8.295819280280255043e+03 1.730376732679841807e+05
1.212393420372956320e-06 1.765556862595132998e+03 -4.943745992651724373e+04 2.444062443985998154e+09 -8.155209882564933777e+10 1.783155611531977192e+05 7.405222356121785706e+05 1.402018512423779395e-01 -8.259586434791332067e+03 1.730376471982862568e+05
1.217711930489800907e-06 1.765556599661521886e+03 -4.943745250486947043e+04 2.444061710171224594e+09 -8.119589148589816284e+10 1.783155347066695685e+05 7.405220518097571330e+05 1.402018648260463796e-01 -8.223511840815277537e+03 1.730376210142300406e+05
1.223053771770760705e-06 1.765556335574517334e+03 -4.943744505066565762e+04 2.444060973137586117e+09 -8.084123992653907776e+10 1.783155081441302027e+05 7.405218672010803130e+05 1.402018784693047082e-01 -8.187594807168695297e+03 1.730375947153140150e+05
1.228419046564652933e-06 1.765556070329059594e+03 -4.943743756376296369e+04 2.444060232870961189e+09 -8.048813735250532532e+10 1.783154814650705375e+05 7.405216817826110637e+05 1.402018921724143552e-01 -8.151834645687008560e+03 1.730375683010341891e+05
1.233807857669276694e-06 1.765555803920067547e+03 -4.943743004401797953e+04 2.444059489357171535e+09 -8.013657699840867615e+10 1.783154546689797426e+05 7.405214955507979030e+05 1.402019059356378605e-01 -8.116230671211303161e+03 1.730375417708846217e+05
1.239220308333383599e-06 1.765555536342437108e+03 -4.943742249128664116e+04 2.444058742581974030e+09 -7.978655212840939331e+10 1.783154277553443681e+05 7.405213085020731669e+05 1.402019197592389854e-01 -8.080782201575164436e+03 1.730375151243570435e+05
1.244656502258654950e-06 1.765555267591041911e+03 -4.943741490542425163e+04 2.444057992531064034e+09 -7.943805603608747864e+10 1.783154007236486359e+05 7.405211206328532426e+05 1.402019336434826291e-01 -8.045488557591642348e+03 1.730374883609410026e+05
