# r   n   gradn   gradn2   lapl   tau_KS   tauTF   s2   q   tau_vW
# Xe Z=54  Koga1999  E=-7232.138355835 Ha  T_KS=4821.42602443 Ha
1.150354479165848809e-06 1.112101140399486612e+05 -1.201326469495844468e+07 1.443185286311350000e+14 -2.088489480186703516e+13 1.749977299518791437e+08 7.384295453518313169e+08 1.318044292396164108e-01 -2.121214027796948812e+03 1.622138079312790930e+08
1.155400837742686907e-06 1.112100534167239675e+05 -1.201325812746966630e+07 1.443183708372160000e+14 -2.079366034346927734e+13 1.749976386919541657e+08 7.384288744600318670e+08 1.318044767273611473e-01 -2.111949545446176217e+03 1.622137189976310432e+08
1.160469333613156752e-06 1.112099925275914429e+05 -1.201325153117428720e+07 1.443182123512613438e+14 -2.070282436306359766e+13 1.749975470317400694e+08 7.384282006257874966e+08 1.318045244234405111e-01 -2.102725526887936667e+03 1.622136296738978624e+08
1.165560063888821721e-06 1.112099313713850424e+05 -1.201324490594599023e+07 1.443180531702372812e+14 -2.061238512024729297e+13 1.749974549694812894e+08 7.384275238361970186e+08 1.318045723287687154e-01 -2.093541795391520736e+03 1.622135399583691657e+08
1.170673126107252156e-06 1.112098699469333806e+05 -1.201323825165787339e+07 1.443178932910959062e+14 -2.052234088221905859e+13 1.749973625034146905e+08 7.384268440783008337e+08 1.318046204442637204e-01 -2.084398174998117156e+03 1.622134498493264019e+08
1.175808618233895610e-06 1.112098082530601096e+05 -1.201323156818250008e+07 1.443177327107765625e+14 -2.043268992374582031e+13 1.749972696317692697e+08 7.384261613390839100e+08 1.318046687708476494e-01 -2.075294490517430859e+03 1.622133593450439274e+08
1.180966638663952387e-06 1.112097462885835557e+05 -1.201322485539186373e+07 1.443175714262048750e+14 -2.034343052712969531e+13 1.749971763527662754e+08 7.384254756054725647e+08 1.318047173094469282e-01 -2.066230567524341041e+03 1.622132684437884390e+08
1.186147286224261679e-06 1.112096840523169230e+05 -1.201321811315738223e+07 1.443174094342926250e+14 -2.025456098217500391e+13 1.749970826646190882e+08 7.384247868643362522e+08 1.318047660609913962e-01 -2.057206232355541943e+03 1.622131771438185573e+08
1.191350660175194891e-06 1.112096215430684679e+05 -1.201321134134994075e+07 1.443172467319388438e+14 -2.016607958615564844e+13 1.749969885655333102e+08 7.384240951024899483e+08 1.318048150264150009e-01 -2.048221312106225014e+03 1.622130854433857203e+08
1.196576860212557442e-06 1.112095587596406403e+05 -1.201320453983983956e+07 1.443170833160285312e+14 -2.007798464378233203e+13 1.749968940537069142e+08 7.384234003066842556e+08 1.318048642066571574e-01 -2.039275634626775400e+03 1.622129933407341242e+08
1.201825986469498829e-06 1.112094957008311612e+05 -1.201319770849680901e+07 1.443169191834329688e+14 -1.999027446717018750e+13 1.749967991273296177e+08 7.384227024636175632e+08 1.318049136026598345e-01 -2.030369028519452741e+03 1.622129008340993226e+08
1.207098139518431149e-06 1.112094323654323525e+05 -1.201319084719000943e+07 1.443167543310098125e+14 -1.990294737580636719e+13 1.749967037845830917e+08 7.384220015599286556e+08 1.318049632153693862e-01 -2.021501323135117445e+03 1.622128079217095375e+08
1.212393420372956320e-06 1.112093687522310793e+05 -1.201318395578803122e+07 1.443165887556029688e+14 -1.981600169651789062e+13 1.749966080236416161e+08 7.384212975821956396e+08 1.318050130457370239e-01 -2.012672348569969245e+03 1.622127146017853916e+08
1.217711930489800907e-06 1.112093048600091133e+05 -1.201317703415889479e+07 1.443164224540426875e+14 -1.972943576343958594e+13 1.749965118426710367e+08 7.384205905169404745e+08 1.318050630947175117e-01 -2.003881935662278011e+03 1.622126208725396097e+08
1.223053771770760705e-06 1.112092406875426532e+05 -1.201317008217002824e+07 1.443162554231450312e+14 -1.964324791798213672e+13 1.749964152398290932e+08 7.384198803506236076e+08 1.318051133632701932e-01 -1.995129915989153005e+03 1.622125267321770787e+08
1.228419046564652933e-06 1.112091762336027605e+05 -1.201316309968828969e+07 1.443160876597123438e+14 -1.955743650880032422e+13 1.749963182132658958e+08 7.384191670696483850e+08 1.318051638523583258e-01 -1.986416121863307126e+03 1.622124321788947582e+08
1.233807857669276694e-06 1.112091114969549380e+05 -1.201315608657994680e+07 1.443159191605328125e+14 -1.947199989176140625e+13 1.749962207611228824e+08 7.384184506603568792e+08 1.318052145629496352e-01 -1.977740386329852527e+03 1.622123372108817697e+08
1.239220308333383599e-06 1.112090464763593773e+05 -1.201314904271068424e+07 1.443157499223806250e+14 -1.938693642991357422e+13 1.749961228815338910e+08 7.384177311090325117e+08 1.318052654960157888e-01 -1.969102543163094424e+03 1.622122418263191879e+08
1.244656502258654950e-06 1.112089811705707689e+05 -1.201314196794558875e+07 1.443155799420156250e+14 -1.930224449345462109e+13 1.749960245726238489e+08 7.384170084018976688e+08 1.318053166525329500e-01 -1.960502426863352184e+03 1.622121460233801007e+08
1.250116543601689305e-06 1.112089155783383176e+05 -1.201313486214916408e+07 1.443154092161836250e+14 -1.921792245970070312e+13 1.749959258325102031e+08 7.384162825251140594e+08 1.318053680334815292e-01 -1.951939872653785642e+03 1.622120498002296686e+08
1.255600536975997663e-06 1.112088496984059020e+05 -1.201312772518532723e+07 1.443152377416164062e+14 -1.913396871305527734e+13 1.749958266593018472e+08 7.384155534647843838e+08 1.318054196398461830e-01 -1.943414716477236652e+03 1.622119531550251544e+08
1.261108587454008393e-06 1.112087835295117548e+05 -1.201312055691739358e+07 1.443150655150312812e+14 -1.905038164497810938e+13 1.749957270510995090e+08 7.384148212069495916e+08 1.318054714726161203e-01 -1.934926794993089516e+03 1.622118560859156847e+08
1.266640800569079994e-06 1.112087170703885786e+05 -1.201311335720806010e+07 1.443148925331307188e+14 -1.896715965395442969e+13 1.749956270059950650e+08 7.384140857375884056e+08 1.318055235327844077e-01 -1.926475945574136404e+03 1.622117585910417736e+08
1.272197282317523175e-06 1.112086503197635902e+05 -1.201310612591945007e+07 1.443147187926034062e+14 -1.888430114546434375e+13 1.749955265220729411e+08 7.384133470426198244e+08 1.318055758213488582e-01 -1.918062006303467115e+03 1.622116606685365140e+08
1.277778139160631404e-06 1.112085832763582439e+05 -1.201309886291306093e+07 1.443145442901230625e+14 -1.880180453195218750e+13 1.749954255974081755e+08 7.384126051078984737e+08 1.318056283393119199e-01 -1.909684815971366106e+03 1.622115623165244460e+08
1.283383478026721836e-06 1.112085159388887259e+05 -1.201309156804980151e+07 1.443143690223492500e+14 -1.871966823279615625e+13 1.749953242300681770e+08 7.384118599192210436e+08 1.318056810876796769e-01 -1.901344214072212026e+03 1.622114635331219137e+08
1.289013406313182379e-06 1.112084483060653147e+05 -1.201308424118995294e+07 1.443141929859263750e+14 -1.863789067427801562e+13 1.749952224181115031e+08 7.384111114623188972e+08 1.318057340674630706e-01 -1.893040040801421583e+03 1.622113643164368570e+08
1.294668031888530828e-06 1.112083803765928023e+05 -1.201307688219320960e+07 1.443140161774849375e+14 -1.855647028955295312e+13 1.749951201595881581e+08 7.384103597228624821e+08 1.318057872796776220e-01 -1.884772137052373409e+03 1.622112646645695567e+08
1.300347463094480572e-06 1.112083121491700440e+05 -1.201306949091860279e+07 1.443138385936393438e+14 -1.847540551861949609e+13 1.749950174525396228e+08 7.384096046864567995e+08 1.318058407253429321e-01 -1.876540344413367620e+03 1.622111645756107867e+08
1.306051808748017515e-06 1.112082436224904523e+05 -1.201306206722459197e+07 1.443136602309903750e+14 -1.839469480828973828e+13 1.749949142949988544e+08 7.384088463386466503e+08 1.318058944054834591e-01 -1.868344505164584234e+03 1.622110640476440191e+08
1.311781178143483777e-06 1.112081747952417063e+05 -1.201305461096900702e+07 1.443134810861237188e+14 -1.831433661215949609e+13 1.749948106849904656e+08 7.384080846649132967e+08 1.318059483211278249e-01 -1.860184462275064561e+03 1.622109630787440240e+08
1.317535681054672622e-06 1.112081056661054899e+05 -1.201304712200903893e+07 1.443133011556096562e+14 -1.823432939057868750e+13 1.749947066205298603e+08 7.384073196506718397e+08 1.318060024733095914e-01 -1.852060059399706688e+03 1.622108616669770777e+08
1.323315427736931636e-06 1.112080362337579863e+05 -1.201303960020125471e+07 1.443131204360035312e+14 -1.815467161062183984e+13 1.749946020996238589e+08 7.384065512812764645e+08 1.318060568630660956e-01 -1.843971140876257323e+03 1.622107598104005754e+08
1.329120528929274171e-06 1.112079664968694269e+05 -1.201303204540161788e+07 1.443129389238461875e+14 -1.807536174605878125e+13 1.749944971202712059e+08 7.384057795420155525e+08 1.318061114914401977e-01 -1.835917551722347298e+03 1.622106575070643425e+08
1.334951095856502856e-06 1.112078964541042078e+05 -1.201302445746541955e+07 1.443127566156623438e+14 -1.799639827732526562e+13 1.749943916804608107e+08 7.384050044181129932e+08 1.318061663594784771e-01 -1.827899137632505244e+03 1.622105547550085485e+08
