# r   n   gradn   gradn2   lapl   tau_KS   tauTF   s2   q   tau_vW
# H Z=1  Koga1999  E=-0.50000000 Ha  T_KS=0.5000000000 Ha
# Note: tau_KS = tau_vW exactly (single orbital) -> alpha_bar = 0 everywhere
1.642434764529569281e-06 3.183088405790621134e-01 -6.366176811581242267e-01 4.052820719631471391e-01 -7.752108629257546272e+05 1.591544202895310567e-01 4.260720927260534530e-01 2.241232265712281846e-01 -1.364576927520425816e+05 1.591544202895310567e-01
1.656305599561332344e-06 3.183088317486433838e-01 -6.366176634972867676e-01 4.052820494767446213e-01 -7.687187789892058354e+05 1.591544158743216919e-01 4.260720730261348677e-01 2.241232307162632498e-01 -1.353149198789520306e+05 1.591544158743216919e-01
1.670293577793320697e-06 3.183088228436494749e-01 -6.366176456872989498e-01 4.052820268004392879e-01 -7.622810634163951036e+05 1.591544114218247374e-01 4.260720531598456984e-01 2.241232348963044796e-01 -1.341817172288961592e+05 1.591544114218247374e-01
1.684399688533627847e-06 3.183088138634505571e-01 -6.366176277269011141e-01 4.052820039326272550e-01 -7.558972608960531652e+05 1.591544069317252785e-01 4.260720331257808469e-01 2.241232391116473877e-01 -1.330580046554424625e+05 1.591544069317252785e-01
1.698624929445339046e-06 3.183088048074116383e-01 -6.366176096148232766e-01 4.052819808716915384e-01 -7.495669199299446773e+05 1.591544024037058191e-01 4.260720129225237796e-01 2.241232433625901521e-01 -1.319437026833498094e+05 1.591544024037058191e-01
1.712970306617092106e-06 3.183087956748920089e-01 -6.366175913497840178e-01 4.052819576160006099e-01 -7.432895928009324707e+05 1.591543978374460044e-01 4.260719925486450288e-01 2.241232476494335879e-01 -1.308387325029473286e+05 1.591543978374460044e-01
1.727436834634233673e-06 3.183087864652459076e-01 -6.366175729304918152e-01 4.052819341639100625e-01 -7.370648355413163081e+05 1.591543932326229538e-01 4.260719720027041357e-01 2.241232519724805361e-01 -1.297430159645607346e+05 1.591543932326229538e-01
1.742025536650575191e-06 3.183087771778219666e-01 -6.366175543556439331e-01 4.052819105137612787e-01 -7.308922079014311312e+05 1.591543885889109833e-01 4.260719512832478184e-01 2.241232563320371129e-01 -1.286564755729852477e+05 1.591543885889109833e-01
1.756737444460758116e-06 3.183087678119633224e-01 -6.366175356239266447e-01 4.052818866638814854e-01 -7.247712733185095713e+05 1.591543839059816612e-01 4.260719303888107490e-01 2.241232607284113776e-01 -1.275790344820042810e+05 1.591543839059816612e-01
1.771573598573226215e-06 3.183087583670076715e-01 -6.366175167340153429e-01 4.052818626125843093e-01 -7.187015988858069759e+05 1.591543791835038357e-01 4.260719093179153871e-01 2.241232651619143035e-01 -1.265106164889548236e+05 1.591543791835038357e-01
1.786535048283817492e-06 3.183087488422868261e-01 -6.366174976845736522e-01 4.052818383581681116e-01 -7.126827553219832480e+05 1.591543744211434130e-01 4.260718880690710919e-01 2.241232696328596674e-01 -1.254511460293378914e+05 1.591543744211434130e-01
1.801622851749975492e-06 3.183087392371272695e-01 -6.366174784742545389e-01 4.052818138989179308e-01 -7.067143169407416135e+05 1.591543696185636347e-01 4.260718666407752320e-01 2.241232741415635499e-01 -1.244005481714740308e+05 1.591543696185636347e-01
1.816838076065588266e-06 3.183087295508496561e-01 -6.366174591016993123e-01 4.052817892331038174e-01 -7.007958616207222221e+05 1.591543647754248281e-01 4.260718450315122419e-01 2.241232786883448347e-01 -1.233587486112039478e+05 1.591543647754248281e-01
1.832181797336459849e-06 3.183087197827690340e-01 -6.366174395655380680e-01 4.052817643589815000e-01 -6.949269707756473217e+05 1.591543598913845170e-01 4.260718232397542327e-01 2.241232832735249592e-01 -1.223256736666330689e+05 1.591543598913845170e-01
1.847655100756417868e-06 3.183087099321943447e-01 -6.366174198643886895e-01 4.052817392747913305e-01 -6.891072293247143971e+05 1.591543549660971724e-01 4.260718012639593821e-01 2.241232878974283860e-01 -1.213012502729205007e+05 1.591543549660971724e-01
1.863259080684063829e-06 3.183086999984290344e-01 -6.366173999968580688e-01 4.052817139787595613e-01 -6.833362256632435601e+05 1.591543499992145172e-01 4.260717791025737666e-01 2.241232925603821868e-01 -1.202854059771115280e+05 1.591543499992145172e-01
1.878994840720174358e-06 3.183086899807705539e-01 -6.366173799615411077e-01 4.052816884690971788e-01 -6.776135516335624270e+05 1.591543449903852769e-01 4.260717567540301398e-01 2.241232972627160702e-01 -1.192780689330130554e+05 1.591543449903852769e-01
1.894863493785751894e-06 3.183086798785103588e-01 -6.366173597570207177e-01 4.052816627439999597e-01 -6.719388024961411720e+05 1.591543399392551794e-01 4.260717342167477106e-01 2.241233020047626312e-01 -1.182791678961126454e+05 1.591543399392551794e-01
